raw_sponsor_name,cleaned_operating_name,parent_company_candidate,mapping_type,review_status,notes,dashboard_sponsor_name,parent_rollup_name_if_approved,recommended_current_use
Johnson & Johnson Medical (Shanghai) Ltd.,Johnson & Johnson,Johnson & Johnson,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Johnson & Johnson,Johnson & Johnson,Use dashboard_sponsor_name
Johnson & Johnson Private Limited,Johnson & Johnson,Johnson & Johnson,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Johnson & Johnson,Johnson & Johnson,Use dashboard_sponsor_name
Merck Sharp & Dohme LLC,Merck / MSD,Merck & Co.,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Merck / MSD,Merck & Co.,Use dashboard_sponsor_name
Novartis,Novartis,Novartis,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Novartis,Novartis,Use dashboard_sponsor_name
Novartis Pharmaceuticals,Novartis,Novartis,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Novartis,Novartis,Use dashboard_sponsor_name
"Tourmaline Bio, Inc., a Novartis Company",Novartis,Novartis,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Novartis,Novartis,Use dashboard_sponsor_name
"Dicerna Pharmaceuticals, Inc., a Novo Nordisk company",Novo Nordisk,Novo Nordisk,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Novo Nordisk,Novo Nordisk,Use dashboard_sponsor_name
Novo Nordisk A/S,Novo Nordisk,Novo Nordisk,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Novo Nordisk,Novo Nordisk,Use dashboard_sponsor_name
Pfizer,Pfizer,Pfizer,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Pfizer,Pfizer,Use dashboard_sponsor_name
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Pfizer,Pfizer,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Pfizer,Pfizer,Use dashboard_sponsor_name
"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,Pfizer,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Pfizer,Pfizer,Use dashboard_sponsor_name
Regeneron Pharmaceuticals,Regeneron,Regeneron,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Regeneron,Regeneron,Use dashboard_sponsor_name
Hoffmann-La Roche,Roche,Roche,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Roche,Roche,Use dashboard_sponsor_name
Sanofi,Sanofi,Sanofi,simple_name_variant,confirmed,Likely simple sponsor-name standardization.,Sanofi,Sanofi,Use dashboard_sponsor_name
35Pharma Inc,35Pharma Inc,35Pharma Inc,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,35Pharma Inc,35Pharma Inc,Use dashboard_sponsor_name
3D Medicines,3D Medicines,3D Medicines,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,3D Medicines,3D Medicines,Use dashboard_sponsor_name
3ive Labs,3ive Labs,3ive Labs,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,3ive Labs,3ive Labs,Use dashboard_sponsor_name
"4C Medical Technologies, Inc.","4C Medical Technologies, Inc.","4C Medical Technologies, Inc.",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"4C Medical Technologies, Inc.","4C Medical Technologies, Inc.",Use dashboard_sponsor_name
4D Molecular Therapeutics,4D Molecular Therapeutics,4D Molecular Therapeutics,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,4D Molecular Therapeutics,4D Molecular Therapeutics,Use dashboard_sponsor_name
4TEEN4 Pharmaceuticals GmbH,4TEEN4 Pharmaceuticals GmbH,4TEEN4 Pharmaceuticals GmbH,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,4TEEN4 Pharmaceuticals GmbH,4TEEN4 Pharmaceuticals GmbH,Use dashboard_sponsor_name
A-Rhythmik GmbH,A-Rhythmik GmbH,A-Rhythmik GmbH,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,A-Rhythmik GmbH,A-Rhythmik GmbH,Use dashboard_sponsor_name
A.Menarini Asia-Pacific Holdings Pte Ltd,A.Menarini Asia-Pacific Holdings Pte Ltd,A.Menarini Asia-Pacific Holdings Pte Ltd,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,A.Menarini Asia-Pacific Holdings Pte Ltd,A.Menarini Asia-Pacific Holdings Pte Ltd,Use dashboard_sponsor_name
ABAStroke Sp. z o.o.,ABAStroke ,ABAStroke ,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,ABAStroke ,ABAStroke ,Use dashboard_sponsor_name
ABIGO Medical AB,ABIGO Medical AB,ABIGO Medical AB,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,ABIGO Medical AB,ABIGO Medical AB,Use dashboard_sponsor_name
ABLE Human Motion S.L.,ABLE Human Motion S.L.,ABLE Human Motion S.L.,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,ABLE Human Motion S.L.,ABLE Human Motion S.L.,Use dashboard_sponsor_name
ACELYRIN Inc.,ACELYRIN Inc.,ACELYRIN Inc.,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,ACELYRIN Inc.,ACELYRIN Inc.,Use dashboard_sponsor_name
"ADARx Pharmaceuticals, Inc.","ADARx Pharmaceuticals, Inc.","ADARx Pharmaceuticals, Inc.",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"ADARx Pharmaceuticals, Inc.","ADARx Pharmaceuticals, Inc.",Use dashboard_sponsor_name
AEYE Health Inc,AEYE Health Inc,AEYE Health Inc,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,AEYE Health Inc,AEYE Health Inc,Use dashboard_sponsor_name
"AIRx Health, Inc.","AIRx Health, Inc.","AIRx Health, Inc.",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"AIRx Health, Inc.","AIRx Health, Inc.",Use dashboard_sponsor_name
"AJU Pharm Co., Ltd.","AJU Pharm Co., Ltd.","AJU Pharm Co., Ltd.",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"AJU Pharm Co., Ltd.","AJU Pharm Co., Ltd.",Use dashboard_sponsor_name
AM-Pharma,AM-Pharma,AM-Pharma,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,AM-Pharma,AM-Pharma,Use dashboard_sponsor_name
AO GENERIUM,AO GENERIUM,AO GENERIUM,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,AO GENERIUM,AO GENERIUM,Use dashboard_sponsor_name
AOP Orphan Pharmaceuticals AG,AOP Orphan Pharmaceuticals AG,AOP Orphan Pharmaceuticals AG,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,AOP Orphan Pharmaceuticals AG,AOP Orphan Pharmaceuticals AG,Use dashboard_sponsor_name
AOTI Ltd.,AOTI Ltd.,AOTI Ltd.,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,AOTI Ltd.,AOTI Ltd.,Use dashboard_sponsor_name
"ARCA Biopharma, Inc.","ARCA Biopharma, Inc.","ARCA Biopharma, Inc.",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"ARCA Biopharma, Inc.","ARCA Biopharma, Inc.",Use dashboard_sponsor_name
ASH Research Collaborative,ASH Research Collaborative,ASH Research Collaborative,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,ASH Research Collaborative,ASH Research Collaborative,Use dashboard_sponsor_name
ASUSTek Computer INC.,ASUSTek Computer INC.,ASUSTek Computer INC.,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,ASUSTek Computer INC.,ASUSTek Computer INC.,Use dashboard_sponsor_name
AUSL Romagna Rimini,AUSL Romagna Rimini,AUSL Romagna Rimini,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,AUSL Romagna Rimini,AUSL Romagna Rimini,Use dashboard_sponsor_name
AbViro LLC,AbViro LLC,AbViro LLC,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,AbViro LLC,AbViro LLC,Use dashboard_sponsor_name
AbbVie,AbbVie,AbbVie,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,AbbVie,AbbVie,Use dashboard_sponsor_name
Abbott Medical Devices,Abbott Medical Devices,Abbott,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Abbott Medical Devices,Abbott,Use dashboard_sponsor_name
Abbott Point of Care,Abbott Point of Care,Abbott,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Abbott Point of Care,Abbott,Use dashboard_sponsor_name
Abby Geerlings,Abby Geerlings,Abby Geerlings,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Abby Geerlings,Abby Geerlings,Use dashboard_sponsor_name
Abcentra,Abcentra,Abcentra,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Abcentra,Abcentra,Use dashboard_sponsor_name
Abdallah Ali Mohammed,Abdallah Ali Mohammed,Abdallah Ali Mohammed,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Abdallah Ali Mohammed,Abdallah Ali Mohammed,Use dashboard_sponsor_name
Abdul Bari,Abdul Bari,Abdul Bari,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Abdul Bari,Abdul Bari,Use dashboard_sponsor_name
Abdulgani Orhun YEN?GÜN,Abdulgani Orhun YEN?GÜN,Abdulgani Orhun YEN?GÜN,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Abdulgani Orhun YEN?GÜN,Abdulgani Orhun YEN?GÜN,Use dashboard_sponsor_name
Abdullah Khan,Abdullah Khan,Abdullah Khan,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Abdullah Khan,Abdullah Khan,Use dashboard_sponsor_name
Abhinav Sharma,Abhinav Sharma,Abhinav Sharma,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Abhinav Sharma,Abhinav Sharma,Use dashboard_sponsor_name
Abiomed Inc.,Abiomed Inc.,Abiomed Inc.,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Abiomed Inc.,Abiomed Inc.,Use dashboard_sponsor_name
"Ablacon, Inc.","Ablacon, Inc.","Ablacon, Inc.",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"Ablacon, Inc.","Ablacon, Inc.",Use dashboard_sponsor_name
"Ablative Solutions, Inc.","Ablative Solutions, Inc.","Ablative Solutions, Inc.",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"Ablative Solutions, Inc.","Ablative Solutions, Inc.",Use dashboard_sponsor_name
"Abrexa Pharmaceuticals, Inc.","Abrexa Pharmaceuticals, Inc.","Abrexa Pharmaceuticals, Inc.",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"Abrexa Pharmaceuticals, Inc.","Abrexa Pharmaceuticals, Inc.",Use dashboard_sponsor_name
Abu Dhabi Health Services Company,Abu Dhabi Health Services Company,Abu Dhabi Health Services Company,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Abu Dhabi Health Services Company,Abu Dhabi Health Services Company,Use dashboard_sponsor_name
Acandis GmbH,Acandis GmbH,Acandis GmbH,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Acandis GmbH,Acandis GmbH,Use dashboard_sponsor_name
"Acceleron Pharma, Inc., a wholly-owned subsidiary of Merck & Co., Inc., Rahway, NJ USA","Acceleron Pharma, Inc.",Merck & Co.,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"Acceleron Pharma, Inc.",Merck & Co.,Use dashboard_sponsor_name
Accriva Diagnostics,Accriva Diagnostics,Accriva Diagnostics,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Accriva Diagnostics,Accriva Diagnostics,Use dashboard_sponsor_name
Accutar Biotechnology Inc,Accutar Biotechnology Inc,Accutar Biotechnology Inc,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Accutar Biotechnology Inc,Accutar Biotechnology Inc,Use dashboard_sponsor_name
Ace Cells Lab Limited,Ace Cells Lab Limited,Ace Cells Lab Limited,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Ace Cells Lab Limited,Ace Cells Lab Limited,Use dashboard_sponsor_name
"AceLink Therapeutics, Inc.","AceLink Therapeutics, Inc.","AceLink Therapeutics, Inc.",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"AceLink Therapeutics, Inc.","AceLink Therapeutics, Inc.",Use dashboard_sponsor_name
Acer Therapeutics Inc.,Acer Therapeutics Inc.,Acer Therapeutics Inc.,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Acer Therapeutics Inc.,Acer Therapeutics Inc.,Use dashboard_sponsor_name
"Acera Surgical, Inc.","Acera Surgical, Inc.","Acera Surgical, Inc.",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"Acera Surgical, Inc.","Acera Surgical, Inc.",Use dashboard_sponsor_name
Acesion Pharma,Acesion Pharma,Acesion Pharma,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Acesion Pharma,Acesion Pharma,Use dashboard_sponsor_name
Acorai AB,Acorai AB,Acorai AB,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Acorai AB,Acorai AB,Use dashboard_sponsor_name
"Acotec Scientific Co., Ltd","Acotec Scientific Co., Ltd","Acotec Scientific Co., Ltd",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"Acotec Scientific Co., Ltd","Acotec Scientific Co., Ltd",Use dashboard_sponsor_name
Acticor Biotech,Acticor Biotech,Acticor Biotech,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Acticor Biotech,Acticor Biotech,Use dashboard_sponsor_name
Ada Health GmbH,Ada Health GmbH,Ada Health GmbH,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Ada Health GmbH,Ada Health GmbH,Use dashboard_sponsor_name
Adagio Medical,Adagio Medical,Adagio Medical,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Adagio Medical,Adagio Medical,Use dashboard_sponsor_name
Adaptive Biotechnologies,Adaptive Biotechnologies,Adaptive Biotechnologies,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Adaptive Biotechnologies,Adaptive Biotechnologies,Use dashboard_sponsor_name
Addpharma Inc.,Addpharma Inc.,Addpharma Inc.,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Addpharma Inc.,Addpharma Inc.,Use dashboard_sponsor_name
"Adela, Inc","Adela, Inc","Adela, Inc",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"Adela, Inc","Adela, Inc",Use dashboard_sponsor_name
Adicet Therapeutics,Adicet Therapeutics,Adicet Therapeutics,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Adicet Therapeutics,Adicet Therapeutics,Use dashboard_sponsor_name
Advanced Bifurcation Systems Inc.,Advanced Bifurcation Systems Inc.,Advanced Bifurcation Systems Inc.,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Advanced Bifurcation Systems Inc.,Advanced Bifurcation Systems Inc.,Use dashboard_sponsor_name
"Advanced Brain Monitoring, Inc.","Advanced Brain Monitoring, Inc.","Advanced Brain Monitoring, Inc.",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"Advanced Brain Monitoring, Inc.","Advanced Brain Monitoring, Inc.",Use dashboard_sponsor_name
"Advanced Cooling Therapy LLC, d/b/a Attune Medical","Advanced Cooling Therapy LLC, d/b/a Attune Medical","Advanced Cooling Therapy LLC, d/b/a Attune Medical",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"Advanced Cooling Therapy LLC, d/b/a Attune Medical","Advanced Cooling Therapy LLC, d/b/a Attune Medical",Use dashboard_sponsor_name
"Advanced Imaging Projects, LLC","Advanced Imaging Projects, LLC","Advanced Imaging Projects, LLC",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"Advanced Imaging Projects, LLC","Advanced Imaging Projects, LLC",Use dashboard_sponsor_name
Advanced MedTech Solutions Pvt. Ltd.,Advanced MedTech Solutions Pvt. Ltd.,Advanced MedTech Solutions Pvt. Ltd.,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Advanced MedTech Solutions Pvt. Ltd.,Advanced MedTech Solutions Pvt. Ltd.,Use dashboard_sponsor_name
Advanced Medical Solutions Ltd.,Advanced Medical Solutions Ltd.,Advanced Medical Solutions Ltd.,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Advanced Medical Solutions Ltd.,Advanced Medical Solutions Ltd.,Use dashboard_sponsor_name
"Adverum Biotechnologies, Inc.","Adverum Biotechnologies, Inc.","Adverum Biotechnologies, Inc.",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"Adverum Biotechnologies, Inc.","Adverum Biotechnologies, Inc.",Use dashboard_sponsor_name
Advice Pharma Group srl,Advice Pharma Group srl,Advice Pharma Group srl,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Advice Pharma Group srl,Advice Pharma Group srl,Use dashboard_sponsor_name
Aerogen Pharma Limited,Aerogen Pharma Limited,Aerogen Pharma Limited,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Aerogen Pharma Limited,Aerogen Pharma Limited,Use dashboard_sponsor_name
Aesculap AG,Aesculap AG,Aesculap AG,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Aesculap AG,Aesculap AG,Use dashboard_sponsor_name
Affinia Therapeutics,Affinia Therapeutics,Affinia Therapeutics,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Affinia Therapeutics,Affinia Therapeutics,Use dashboard_sponsor_name
Agence Sanitaire et Sociale de Nouvelle Calédonie,Agence Sanitaire et Sociale de Nouvelle Calédonie,Agence Sanitaire et Sociale de Nouvelle Calédonie,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Agence Sanitaire et Sociale de Nouvelle Calédonie,Agence Sanitaire et Sociale de Nouvelle Calédonie,Use dashboard_sponsor_name
Agenzia Regionale emergenza Urgenza,Agenzia Regionale emergenza Urgenza,Agenzia Regionale emergenza Urgenza,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Agenzia Regionale emergenza Urgenza,Agenzia Regionale emergenza Urgenza,Use dashboard_sponsor_name
Agiana Pharmaceuticals,Agiana Pharmaceuticals,Agiana Pharmaceuticals,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Agiana Pharmaceuticals,Agiana Pharmaceuticals,Use dashboard_sponsor_name
"AgileMD, Inc.","AgileMD, Inc.","AgileMD, Inc.",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"AgileMD, Inc.","AgileMD, Inc.",Use dashboard_sponsor_name
Agnaldo José Lopes,Agnaldo José Lopes,Agnaldo José Lopes,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Agnaldo José Lopes,Agnaldo José Lopes,Use dashboard_sponsor_name
Agnieszka Pozdzik,Agnieszka Pozdzik,Agnieszka Pozdzik,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Agnieszka Pozdzik,Agnieszka Pozdzik,Use dashboard_sponsor_name
Ahmad Abdullah Salawi,Ahmad Abdullah Salawi,Ahmad Abdullah Salawi,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Ahmad Abdullah Salawi,Ahmad Abdullah Salawi,Use dashboard_sponsor_name
"Ahn-Gook Pharmaceuticals Co.,Ltd","Ahn-Gook Pharmaceuticals Co.,Ltd","Ahn-Gook Pharmaceuticals Co.,Ltd",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"Ahn-Gook Pharmaceuticals Co.,Ltd","Ahn-Gook Pharmaceuticals Co.,Ltd",Use dashboard_sponsor_name
"Aimmune Nestlé Health Science US R&D, LLC","Aimmune Nestlé Health Science US R&D, LLC","Aimmune Nestlé Health Science US R&D, LLC",left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,"Aimmune Nestlé Health Science US R&D, LLC","Aimmune Nestlé Health Science US R&D, LLC",Use dashboard_sponsor_name
Akros Pharma Inc.,Akros Pharma Inc.,Akros Pharma Inc.,left_as_is,no_review_needed,No related sponsor/parent mapping identified; kept as original sponsor name.,Akros Pharma Inc.,Akros Pharma Inc.,Use dashboard_sponsor_name
